step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
1911,2023-07-03 11:02:03.318839762,2,193.45,218.0,-0.06194161820431181,0.025398218204301576,0.020000000000010232,0.0165434
1927,2023-07-03 11:02:45.505829632,1,193.52,135.0,-0.05252050464463453,0.03591850464463453,0.0,0.016602
1932,2023-07-03 11:02:47.389856399,2,193.51,195.0,-0.20806017281720973,0.1015928728172063,0.09000000000000341,0.0164673
1933,2023-07-03 11:02:49.769328479,1,193.52,222.0,-0.04183651820430158,0.025398218204301576,0.0,0.0164383
1941,2023-07-03 11:03:18.710123517,1,193.52,121.0,-0.042017818204301574,0.025398218204301576,0.0,0.0166196
1945,2023-07-03 11:03:37.208586047,1,193.52,133.0,-0.2373038360710917,0.16063243607108943,0.060000000000002274,0.0166714
1955,2023-07-03 11:04:33.083247283,1,193.59,191.0,-0.05241770464463453,0.03591850464463453,0.0,0.0164992
1970,2023-07-03 11:05:25.112318752,1,193.56,227.0,-0.09253500464462658,0.03591850464463453,0.03999999999999204,0.0166165
1971,2023-07-03 11:05:25.112318752,1,193.56,170.0,-0.08201471820429362,0.025398218204301576,0.03999999999999204,0.0166165
1988,2023-07-03 11:05:38.565293950,1,193.45,71.0,-0.11185341820432318,0.025398218204301576,0.0700000000000216,0.0164552
2044,2023-07-03 11:10:03.156761813,2,193.45,199.0,-0.2124541174062947,0.17596401740628445,0.020000000000010232,0.0164901
2070,2023-07-03 11:12:04.162440992,2,193.48,111.0,-0.21699701803554927,0.08031621803554471,0.12000000000000455,0.0166808
2075,2023-07-03 11:12:11.740179832,2,193.45,165.0,-0.17177723075502366,0.09503143075502138,0.060000000000002274,0.0167458
2093,2023-07-03 11:14:10.835856023,2,193.45,91.0,-0.5845783241219096,0.5679214241219096,0.0,0.0166569
2097,2023-07-03 11:14:10.838532001,1,193.45,195.0,-0.3464979630513576,0.31002476305134735,0.020000000000010232,0.0164732
2107,2023-07-03 11:15:04.872517768,2,193.43,100.0,-0.15776933640860658,0.05079643640860315,0.09000000000000341,0.0169729
2118,2023-07-03 11:15:14.173982638,1,193.47,76.0,-0.246660423223184,0.17959252322317262,0.05000000000001137,0.0170679
2119,2023-07-03 11:15:14.173982638,2,193.47,81.0,-0.246660423223184,0.17959252322317262,0.05000000000001137,0.0170679
2122,2023-07-03 11:15:14.176286471,2,193.48,225.0,-0.1678114664985661,0.11070826649854565,0.040000000000020464,0.0171032
2133,2023-07-03 11:15:14.178055000,2,193.51,100.0,-0.13154643635884003,0.10471953635882071,0.010000000000019327,0.0168269
2138,2023-07-03 11:15:14.194322910,1,193.52,91.0,-0.2138370522572041,0.1967337522572041,0.0,0.0171033
2150,2023-07-03 11:16:25.947779794,1,193.51,181.0,-0.041917018204301576,0.025398218204301576,0.0,0.0165188
2152,2023-07-03 11:16:37.434006984,2,193.48,45.0,-0.10046440435159157,0.04399100435157111,0.040000000000020464,0.0164734
2196,2023-07-03 11:23:06.319190201,2,193.53,205.0,-0.2430877319490514,0.15656513194905822,0.06999999999999318,0.0165226
2203,2023-07-03 11:23:30.901699528,2,193.53,176.0,-0.04186211820430158,0.025398218204301576,0.0,0.0164639
2207,2023-07-03 11:23:47.148546369,1,193.53,57.0,-0.37563324644634527,0.35918504644634525,0.0,0.0164482
